Arad	Bucharest	Craiova	Doberta	Eforie	Fagaras	Glurgiu	Hirsova	Iasi	Lugoj	Mehadia	Neamt	Oradea	Pitesti	Rimmicu_Vikea	Sibiu	Timisoara	Urziceni	Vaslui	Zerind
0	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	140	118	1000	1000	75
1000	0	1000	1000	1000	211	90	1000	1000	1000	1000	1000	1000	101	1000	1000	1000	85	1000	1000
1000	1000	0	120	1000	1000	1000	1000	1000	1000	1000	1000	1000	138	146	1000	1000	1000	1000	1000
1000	1000	120	0	1000	1000	1000	1000	1000	1000	75	1000	1000	1000	1000	1000	1000	1000	1000	1000
1000	1000	1000	1000	0	1000	1000	86	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
1000	211	1000	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	99	1000	1000	1000	1000
1000	90	1000	1000	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
1000	1000	1000	1000	86	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	98	1000	1000
1000	1000	1000	1000	1000	1000	1000	1000	0	1000	1000	87	1000	1000	1000	1000	1000	1000	92	1000
1000	1000	1000	1000	1000	1000	1000	1000	1000	0	70	1000	1000	1000	1000	1000	111	1000	1000	1000
1000	1000	1000	75	1000	1000	1000	1000	1000	70	0	1000	1000	1000	1000	1000	1000	1000	1000	1000
1000	1000	1000	1000	1000	1000	1000	1000	87	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000
1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	1000	1000	151	1000	1000	1000	71
1000	101	138	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	97	1000	1000	1000	1000	1000
1000	1000	146	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	97	0	80	1000	1000	1000	1000
140	1000	1000	1000	1000	99	1000	1000	1000	1000	1000	1000	151	1000	80	0	1000	1000	1000	1000
118	1000	1000	1000	1000	1000	1000	1000	1000	111	1000	1000	1000	1000	1000	1000	0	1000	1000	1000
1000	85	1000	1000	1000	1000	1000	98	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	142	1000
1000	1000	1000	1000	1000	1000	1000	1000	92	1000	1000	1000	1000	1000	1000	1000	1000	142	0	1000
75	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	71	1000	1000	1000	1000	1000	1000	0

